id,name, text, timestap, username
6.36798E+17,Martial Blood ™,Afghan India USA troika doing their best to interfere with #CPEC.They must reflect upon all their failed attempts #Pakistan is there to stay,2015-08-27T07:12:08,FaujiLineage
6.368E+17,Genius,"@EyeCQ the success of CPEC will subdue the ""boot lickers"". Political leader is ""cautious"" & ""focused""",2015-08-27T07:16:56,Sher_NA_125
6.36801E+17,MAK,".@MiftahIsmail second, GoP needs to watch closely the fall out from the current economic turbulence in #China lest it impacts #CPEC",2015-08-27T07:24:01,TweetsMak
6.36805E+17,Umair Ibrahim,Wonderful read. Why are we heartily welcoming the CPEC while China builds empty cities in its own territory? http://www.tanqeed.org/2015/08/infrastructures-of-colonialism-and-resistance/ …,2015-08-27T07:37:09,umairibrahimk
6.36809E+17,Ahmed Ashraf,#FCensuresPeaceInBalochistan #CPEC will not only connect whole BalochistanPakistan with China but to Central Asia Revival of Old Silk Route,2015-08-27T07:55:21,aashrafbdo
6.36819E+17,Malik,"Building corridors to the future in #Pakistan #CPEC
http://mobius.blog.franklintempleton.com/2015/08/24/building-corridors-to-the-future-in-pakistan/ …",2015-08-27T08:36:03,GenialMalik
6.3682E+17,Malik,China to set up body to monitor Pak projects #CPEC http://tribune.com.pk/story/944858/cms-china-visit-china-to-set-up-body-to-monitor-pak-projects/ …,2015-08-27T08:39:34,GenialMalik
6.36821E+17,Asfandyar Bhittani,"@KKhanMarwat the policy currently adopted is working, cpec is gonna finally make a baloch city gawadar, hundreds of fighters surrendering",2015-08-27T08:43:11,BhittaniKhannnn
6.3683E+17,Mashaal Radio,#Pakhtunkhwa & #Balochistan once again reject China Pakistan Economic Corridor. Report by @AhmadShahAzami #CPEC http://www.mashaalradio.org/content/article/27211768.html …,2015-08-27T09:19:43,Mashaalradio
6.36833E+17,BeckhamPedigo,Recap Furniture: The Perfect Solution For Businesses cPeC,2015-08-27T09:31:41,BeckhamPedigo
6.36834E+17,Ali Faraz,"China and Pakistan hold high hopes with CPEC-
http://www.baaghi.tv/china-and-pakistan-hold-high-hopes-with-cpec/ …",2015-08-27T09:33:25,AliFaraz15
6.3684E+17,Dr.Agamjd,As They Say in US:Its Peanuts:Not Much of a Sale:Compared To $46 Bn Frm China.Building CPEC Strengthens Pak Defences https://twitter.com/etribune/status/636838965283299328 …,2015-08-27T09:59:06,agamjd
6.36842E+17,K & M ,Kazakhstan President Nursultan Nazarbayev acknowledges potential of CPEC for the economic development of the region http://radio.gov.pk/newsdetail/78906/1 …,2015-08-27T10:05:41,uakram925
6.36857E+17,Muhammad Umar,"#Gwadar will have $1 billion investment under CPEC, $786 million for projects inc.$230 million for Airport & $360 million coal power project",2015-08-27T11:06:20,Ababeelian
