id,name, text, timestap, username
5.51E+17,khalid rafiq,NHA to connect Gwadar with Khunjerab under CPEC project http://ift.tt/1rEzflL ,2015-01-01T12:33:12,khalidrafiq138
5.57E+17,Taslim Aarbi,An oil refinery would be established between Kohat&Karak with help of international company.Chief Executive CPEC Zafar Shiekh #NayaKP #Jan17,2015-01-17T18:26:44,ummesalaar
5.57E+17,Taslim Aarbi,"KP govt. have gained popularity overseas due to corruption free, transparent and ppl friendly projects CE CPEC Zafar Shiekh #NayaKP #Jan17",2015-01-17T18:34:27,ummesalaar
5.57E+17,Bilal Mughal,An oil refinery would be established between Kohat&Karak with help of international company.Chief Executive CPEC Zafar Shiekh #NayaKP #Jan17,2015-01-17T20:31:12,PTI_Kamoke
5.57E+17,Bilal Mughal,"KP govt. have gained popularity overseas due to corruption free, transparent and ppl friendly projects CE CPEC Zafar Shiekh #NayaKP #Jan17""",2015-01-17T20:34:40,PTI_Kamoke
5.57E+17,Abdullah Mukarram,An oil refinery would be established between Kohat and Karak with the help of international company. CPEC Zafar Shiekh #NayaKP #Jan17,2015-01-18T12:23:31,chatterbocs
5.57E+17,Abdullah Mukarram,"KP govt. have gained popularity overseas due to corruption free, transparent and ppl  friendly projects CE CPEC Zafar Shiekh #NayaKP #Jan17",2015-01-18T12:25:17,chatterbocs
5.58E+17,Syed Muhammad Ali,NHA to connect Gwadar with Khunjerab under CPEC project | Business Recorder http://fb.me/7oXvveShy ,2015-01-22T08:16:38,GwadarFreePort
5.59E+17,Planning Commission,Meeting on implementation of China-Pak Economic Corridor #CPEC chaired by Member Infra @malikahmadkhanpic.twitter.com/amvP4RHCZc,2015-01-23T09:52:52,PlanComPakistan
5.59E+17,Planning Commission,Minister Ahsan Iqbal joins #CPEC meeting to personally monitor progress on projects @betterpakistanpic.twitter.com/hcvhXO7Jkm,2015-01-23T10:02:10,PlanComPakistan
5.59E+17,Planning Commission,Feasibility of 120 km extension of Karakoram Highway from Havalian to Thakot due to complete in June 2018 discussed at #CPEC meeting,2015-01-23T10:05:49,PlanComPakistan
5.59E+17,Planning Commission,"Proposed rehab and upgrade of 1736 km Khi-Lhr-Pesh railway track under discussion at #CPEC meeting, @betterpakistan wants expedited action",2015-01-23T10:16:42,PlanComPakistan
5.59E+17,Planning Commission,"Constr of Breakwaters, Tech Vocational Center, 300 bed hospital, coal-fire power plant, airport etc. in Gawadar discussed at #CPEC meeting",2015-01-23T10:21:52,PlanComPakistan
5.59E+17,Pakistan Zindabad,Gwadar Free Zone under CPEC on the anvil http://shar.es/1bIU2E  via @sharethis,2015-01-25T05:33:56,securepakistan
5.59E+17,ISS Naval News,"#Gwadar Free Zone under CPEC on the anvil
http://shar.es/1b8YEw  via @sharethis",2015-01-25T11:59:34,NavalNews
5.60E+17,The Pakistan's Army,Great Pak-Army & Global News: Gwadar Free Zone under CPEC on the anvil http://pakistangreatarmy.blogspot.com/2015/01/gwadar-free-zone-under-cpec-on-anvil.html?spref=tw …,2015-01-28T04:56:36,786Muslims
5.60E+17,The Pakistan's Army,Great Pak-Army & Global News: Gwadar Free Zone under CPEC on the anvil http://fb.me/1SDhOawkd ,2015-01-28T04:58:04,786Muslims
5.61E+17,Planning Commission,PM's 1st official visit after coming into power in 2013 was to visit China & sign China Pak Economic Corridor #CPEC deals- @betterpakistan,2015-01-29T07:33:59,PlanComPakistan
5.61E+17,Planning Commission,"There is misconception regarding China Pak Corridor #CPEC, it encompasses projs all over country from North to South, says
@betterpakistan",2015-01-29T07:36:12,PlanComPakistan
5.51E+17,Janisar-e-Nawaz,Pak China Economic Corridor will create 25000 new Job Opportunities #ManOfTheYearNS,2015-01-01T16:27:37,IbadJohiya
5.51E+17,Janisar-e-Nawaz,Pak China Economic Corridor will be a game changer Vision 2025 !! #ManOfTheYearNS,2015-01-01T17:08:39,IbadJohiya
5.55E+17,Pak-China Institute,Pak-China economic corridor projects would help strengthen the economy besides open new opportunities for trade... http://fb.me/1iXtzvzVe ,2015-01-12T07:32:53,pcipakchina
5.55E+17,Radio Pakistan,President says Pak-China Economic Corridor is the only way for economic progress and stability http://www.radio.gov.pk/newsdetail/73530/1 …,2015-01-12T12:50:59,RadioPakistan
5.55E+17,Atiq Ur Rehman Sial,President says Pak-China Economic Corridor is the only way for economic progress and stability http://www.radio.gov.pk/newsdetail/73530/1 …,2015-01-12T12:51:30,AtiqSial
5.55E+17,khalid rafiq,President pins hopes on  Pak-China economic corridor http://ift.tt/17C67mj ,2015-01-13T02:14:32,khalidrafiq138
5.56E+17,frederic lefevre,Pak-China Economic Corridor to benefit entire region: Dar - Associated Press of Pakistan http://bit.ly/1IBY2v8 ,2015-01-15T14:50:06,FredoMalin1976
5.56E+17,PMLN Spain,Dar chairs meeting on Pak-China Economic Corridor http://fb.me/3wh5s2CGd ,2015-01-15T21:29:03,PMLNSpain1
5.56E+17,Federal Pakistan,"Pak-China Economic Corridor to benefit entire region: Dar
http://www.app.com.pk/en_/index.php?option=com_content&task=view&id=319214&Itemid=1 …",2015-01-16T06:57:25,FederalPakistan
5.56E+17,Media Voice,Pakistan is looking for a Pak-China economic corridor-like package from Japan as it will benefit the Japanese investors greatly.,2015-01-16T09:43:45,PakMediaVoice
5.56E+17,Board of Investment,Pak-China Economic Corridor to benefit entire region: Dar http://www.brecorder.com/top-news/1-front-top-news/217925-pak-china-economic-corridor-to-benefit-entire-region-dar.html …,2015-01-17T07:08:22,investinpak
5.56E+17,Dubai-Easy.com,‘Pak-China Economic Corridor for entire region’ http://dubai-easy.com/?p=33377 ,2015-01-17T12:34:08,dubaieasy
5.57E+17,IrFan Ali,@fawadchaudhry AOA! . i wish u and sir @MoeedNj  do 1 prgm atleast on Pak-China Economic Corridor and its controversial route  by PmL-N. :),2015-01-18T20:33:09,Khanali_0321
5.57E+17,IrFan Ali,@fawadchaudhry @MoeedNj @mubasherlucman @Kashifabbasiary @RehamKhan1 A vry serious issue Pak-China Economic Corridor pic.twitter.com/lJNhhp1DL9,2015-01-18T20:37:56,Khanali_0321
5.57E+17,khalid rafiq,Balochistan will be main beneficiary under Pak-China economic corridor: PM http://ift.tt/15jjhnx ,2015-01-19T08:00:35,khalidrafiq138
5.57E+17,BreakingNewsPakistan,Balochistan will be main beneficiary under Pak-China economic corridor: PM http://www.breakingnewspak.com/balochistan-will-be-main-beneficiary-under-pak-china-economic-corridor-pm/ … #Pakistanpic.twitter.com/Ya4X02dwRu,2015-01-19T08:13:11,BreakingNewPak
5.57E+17,Mamoon Ur Rasheed,Pak-China Economic Corridor - Nawaz Sharif is trying to change the Original Route proposed by China and deprive... http://fb.me/4i9TCUsoP ,2015-01-19T11:07:11,MamoonUrRashee
5.57E+17,Arian khan آرین خان,Pak-China Economic Corridor - The Old Route which was part of the First PC-1 must be revived .... Federal Govt... http://fb.me/3Dihs8EYC ,2015-01-19T17:04:23,QuettaJourno
5.58E+17,Waqas Rafique,Pak-China Economic Corridor will become a source of development in #Balochistan as well- Sartaj Azizpic.twitter.com/BuKS6XuhUB,2015-01-20T13:36:38,waqasrafique
5.58E+17,Rizwan Syed,@ShireenMazari1 PTI should openly raise voice regarding Pak China economic corridor route. @ArifAlvi,2015-01-21T13:48:28,syedalirizwan
5.58E+17,asad,"@ImranKhanPTI Pak-China Economic Corridor - Nawaz Sharif is tryin 2change da Original Route proposed by China &deprive da ppl of FATA, Kp1/2",2015-01-21T19:07:55,asadalijadoon
5.58E+17,asad,@Ali_MuhammadPTI Pak-China Economic Corridor - Nawaz Sharif is trying to change the Original Route proposed by China & deprive the people1/1,2015-01-21T19:24:01,asadalijadoon
5.58E+17,Malik Tajamul Hayat,"Saleem Safi Speaks About ""The Pak-China Economic Corridor - Nawaz Sharif is trying to change the Original Route... http://fb.me/1tKdbPxwN ",2015-01-22T14:32:04,ICMSChairman
5.58E+17,Malik Tajamul Hayat,"Saleem Safi Speaks About ""The Pak-China Economic Corridor - Nawaz Sharif is trying to change the Original Route... http://fb.me/3akC5Tk8r ",2015-01-22T14:32:05,ICMSChairman
5.59E+17,Pahic Colombo,Nawaz Sharif says development of Gwadar Port and Pak-China Economic Corridor will bring prosperity to the province,2015-01-23T09:37:53,PahicColombo
5.59E+17,PTV World,Pak-China economic corridor project and expansion of Gwadar Port will play a vital role in prosperity of the people of Balochistan : PM,2015-01-23T10:15:43,WorldPTV
5.59E+17,Planning Commission,President pins hopes on Pak-China economic corridor http://nation.com.pk/islamabad/13-Jan-2015/president-pins-hopes-on-pak-china-economic-corridor#.VMSJWhng9C4.twitter …,2015-01-25T06:13:03,PlanComPakistan
5.60E+17,Bushra Gohar,"#AsfandyarWaliKhan warned the fed govt #ANP would strongly resist change in the Pak-China economic corridor route. 
http://shar.es/1bUqRi ",2015-01-26T15:15:04,BushraGohar
5.60E+17,Abdur Rauf Yousafzai,Dear CM @Pervaiz_Khattak pay attention to a gruesome idea of PM Nawaz of diverting Pak-China Economic Corridor route from KP @ImranKhanPTI,2015-01-27T08:46:32,theraufkhan
5.61E+17,Planning Commission,PM's 1st official visit after coming into power in 2013 was to visit China & sign China Pak Economic Corridor #CPEC deals- @betterpakistan,2015-01-29T07:33:59,PlanComPakistan
5.61E+17,Govt of Pakistan,"Pak-China economic corridor to bring prosperity: #AhsanIqbal
http://www.radio.gov.pk/newsdetail/73904/1 …",2015-01-29T15:39:19,pid_gov
