id,name, text, timestap, username
4.87E+17,Reko Diq,"Progress on energy, CPEC reviewed http://www.dawn.com/news/1117982 ",2014-07-09T01:31:02,RekoDiq
4.87E+17,1stHeadlines-Energy,"Dawn (Pakistan):  Progress on energy, CPEC reviewed . More #Energy #news - http://tinyurl.com/mtdw2j ",2014-07-09T01:56:23,EnergyNewsHeds
4.87E+17,qasimkhan,"Progress on energy, CPEC reviewed -- http://www.searosechat.com/2014/07/progress-on-energy-cpec-reviewed.html …",2014-07-09T02:10:29,qasimkhan7007
4.87E+17,Pras,"Progress on energy, CPEC reviewed BEIJING: Federal Minister for Planning, Development and Reform Ahsan Iqbal and... http://ift.tt/1suI8KD ",2014-07-09T02:11:41,247pk
4.87E+17,NippyNews,Dawn - Pakistan - Progress on energy CPEC reviewed - http://www.dawn.com/news/1117982/progress-on-energy-cpec-reviewed …,2014-07-09T05:00:21,nippynews
4.87E+17,External Publicity,"Ahsan visits china to follow up progress on energy, CPEC projects .......External Publicity Wing",2014-07-09T06:25:50,adsmepwing
4.87E+17,Ahsan Iqbal,"Progress on energy, CPEC reviewed http://fb.me/3bINzyM0x ",2014-07-09T20:50:34,betterpakistan
4.87E+17,Anonymous,"Progress on energy, CPEC reviewed http://www.dawn.com/news/1117982 ",2014-07-09T20:51:31,Saqiology
4.87E+17,frederic lefevre,"Ahsan visits china to follow up progress on energy, CPEC projects - Associated Press of Pakistan http://bit.ly/1ttqxqL ",2014-07-11T02:48:45,FredoMalin1976
4.88E+17,Zafar Ali,CPEC: China expresses reservations before entering power purchase agreements: ISLAMABAD: As… http://goo.gl/fb/GyCdCQ ,2014-07-12T15:23:20,syedzafar5
4.88E+17,The Express Tribune,(News) CPEC: China expresses reservations before entering power purchase agreements http://tribune.com.pk/story/734743/cpec-china-expresses-reservations-before-entering-power-purchase-agreements/ …pic.twitter.com/dMzoCpbK4t,2014-07-12T15:23:53,etribune
4.88E+17,Lahore,[@eTribune] CPEC: China expresses reservations before entering power purchase agreements http://bit.ly/1sLt2QX  #Lahore #Pakistan,2014-07-12T15:27:18,Lahore
4.88E+17,khalidrafiq,CPEC: China expresses reservations before entering power purchase agreements: ISLAMABAD: As Pakistan is set to enter into power...Etribune,2014-07-12T15:29:04,khalidrafiq101
4.88E+17,khalidrafiq,CPEC: China expresses reservations before entering power purchase agreements http://dlvr.it/6JPTnt ,2014-07-12T15:29:08,khalidrafiq107
4.88E+17,hoursnews,CPEC: China expresses reservations before entering power purchase agreements http://dlvr.it/6JPTtb ,2014-07-12T15:29:11,hoursnews
4.88E+17,BreakingNewsPakistan,CPEC: China expresses reservations before entering ... http://goo.gl/ny5lRZ  #Pakistan #Karachipic.twitter.com/aXwzBlTrac,2014-07-12T15:29:33,BreakingNewPak
4.88E+17,Latest Pakistan News,CPEC: China expresses reservations before entering power purchase agreements http://ift.tt/1m3YXqr ,2014-07-12T15:33:33,NewsInsider
4.88E+17,Pakistan News,"CPEC: China expresses reservations before entering power purchase agreements http://bit.ly/1sLvbw1  | etribune, Business",2014-07-12T15:38:39,Pak_reuters
4.88E+17,umer hafeez,CPEC: China expresses reservations before entering power purchase agreements http://bit.ly/1s7ox5S  #Pakistan #tribune,2014-07-12T15:43:01,bloggerumer
4.88E+17,Hussnain munawar,"CPEC: China expresses reservations before entering power purchase agreements: 

         ISLAMABAD: As ... http://bit.ly/1s7ox5S ",2014-07-12T15:43:05,HMBangash
4.88E+17,seemigul,CPEC: China expresses reservations before entering power purchase agreements http://bit.ly/1s7ox5S ,2014-07-12T15:43:07,seemi_gul
4.88E+17,Pakistan News,"CPEC: China expresses reservations before entering power purchase agreements: 

         ... http://bit.ly/1s7ox5S  #pakistan #news",2014-07-12T15:43:07,pakistani_news
4.88E+17,jan Asgher,#Asgher Ali# CPEC: China expresses reservations before entering power purchase agreements http://bit.ly/1s7ox5S ,2014-07-12T15:43:12,janAsgher
4.88E+17,Asad Aziz,#Pakistan #News #TV CPEC: China expresses reservations before entering power purchase agreements,2014-07-12T15:43:15,imAsadAziz
4.88E+17,Pakistani News,CPEC: China expresses reservations before entering power purchase agreements http://bit.ly/1s7ox5S  #Pakistan #News,2014-07-12T15:52:22,pakistaninews_
4.88E+17,Pakistan Marbles,#Pakistan Business CPEC: China expresses reservations before entering power purchase agreements http://bit.ly/1s7ox5S ,2014-07-12T15:52:23,Pakistan_Marble
4.88E+17,Pakistan News,"CPEC: China expresses reservations before entering power purchase agreements: 

      ... http://bit.ly/1s7ox5S  #pakistan #business",2014-07-12T15:52:23,pakistani_news
4.88E+17,Pakistan News,CPEC: China expresses reservations before entering power purchase agreements http://goo.gl/fb/gnRYWI  via @paknews,2014-07-12T15:54:39,paknews
4.88E+17,Karachi,[@eTribune] CPEC: China expresses reservations before entering power purchase agreements http://bit.ly/1sLt2QX  #Karachi #Pakistan,2014-07-12T15:56:21,Karachi
4.88E+17,bazarbuzz,Tribune: CPEC: China expresses reservations before entering power purchase agreements http://ow.ly/2K1PBm ,2014-07-12T16:11:59,bazarbuzz
4.88E+17,BreakingNewsPakistan,CPEC key initiative to meet energy shortfall: Ahsan http://goo.gl/b9Qfnr  #Pakistan #Karachi,2014-07-12T16:25:51,BreakingNewPak
4.88E+17,khalid rafiq,CPEC key initiative to meet energy shortfall: Ahsan http://dlvr.it/6JQTr4  #PakistanToDay,2014-07-12T16:25:54,khalidrafiq124
4.88E+17,Flor,#CPEC,2014-07-12T17:18:33,VelazquezFlor1
4.88E+17,TiE Lahore,#Pakistan: CPEC: China expresses reservations before entering power purchase agreements http://bit.ly/1s7oBTf  #Business #Economy,2014-07-12T20:40:33,TiELahore
4.88E+17,Pakistan Defence,CPEC: China expresses reservations before entering power purchase agreements: CPEC: China expresses... http://defence.pk/threads/cpec-china-expresses-reservations-before-entering-power-purchase-agreements.323744/ …,2014-07-12T22:33:21,defencepk
4.88E+17,1 Second Ago,BUSINESS: Govt vows to complete CPEC projects by 2017 - Daily Times http://bit.ly/1s8tziw ,2014-07-12T23:03:48,1secondago
4.88E+17,1 Second Ago,BUSINESS: Power purchase deals: body under CPEC reviews payment modalities - Business Recorder http://bit.ly/1nqHRIh ,2014-07-13T00:16:57,1secondago
4.88E+17,#TISNews,http://tinyurl.com/pxjz4tb  CPEC: China expresses reservations befor @INSubcontinent #INSubcontinent #Pakistanpic.twitter.com/HipGQkjDoH,2014-07-13T01:52:59,INSubcontinent
4.88E+17,melanieferd,http://tinyurl.com/pxjz4tb  CPEC: China expresses reservations befor @INSubcontinent #INSubcontinent #Pakistanpic.twitter.com/lUgamblW3I,2014-07-13T01:53:04,melanieferd
4.88E+17,PRIME MINISTER,http://tinyurl.com/pxjz4tb  CPEC: China expresses reservations befor @INSubcontinent #INSubcontinent #Pakistanpic.twitter.com/IFxFxRD0H0,2014-07-13T01:53:07,INPrimeMinister
4.88E+17,Democrat Indians,http://tinyurl.com/pxjz4tb  CPEC: China expresses reservations befor @INSubcontinent #INSubcontinent #Pakistanpic.twitter.com/CfnNCGAdhO,2014-07-13T01:53:10,DemocratIndians
4.88E+17,Business Recorder,"Power purchase deals: body under CPEC reviews payment modalities

For Details:... http://fb.me/2VT8GSzJI ",2014-07-13T09:51:22,brecordernews
4.93E+17,China in Eurasia,"1st CPEC project, a coal power plant in Port Qasim, inaugurated by Nawaz Sharif's w Chinese and Qatari Ambos present http://en.powerchina.cn/2014-06/04/content_17562668.htm …",2014-07-26T12:16:30,ChinaEurasia
4.94E+17, ☠️ BLACKBEARD  ☠️,"Why isn't OPEC the solution to global warming?: It just seems to me if you had an OPEC, a CPEC (coal producing... http://bit.ly/1tTbbIv ",2014-07-28T16:50:44,xBLACKBEARD
4.94E+17,Container Management,Today's Top Story: New Colombo terminal on target for end of 2014 http://container-mag.com/new-colombo-terminal-on-target-for-end-of-2014/ … #colombo #sri lanka #ports #containers #slpa #cpec,2014-07-29T06:34:43,ContainerMag
4.87E+17,Pakistan News,"Economic corridor: Pakistan, China review progress on projects http://bit.ly/1stKQjF  | etribune, Business",2014-07-08T21:07:16,Pak_reuters
4.87E+17,Pakistan News,"Pakistan, China agree to speed up work on economic corridor http://bit.ly/1sypAsN   | The Nation",2014-07-09T20:08:15,Pak_reuters
4.87E+17,Capital TV,"Mega economic projects including power projects are linked with Pak-#China Economic Corridor:
@CMShehbaz #CapitalTV",2014-07-10T10:36:12,CapitalTV_News
4.87E+17,Mudassir Ghafoor,Mega economic projects including power projects are linked with Pak-#China Economic Corridor: @CMShehbaz #ForRoshanPakistan,2014-07-10T10:49:39,MudassirMadi
4.87E+17,QBee,"Mega economic projects including power projects are linked with Pak-#China Economic Corridor:
#Shar.e.Punjaab",2014-07-10T12:07:41,qasimali2389
4.88E+17,Ahsan Iqbal,"Discussed Energy Projects of Pak China Economic Corridor with Mr. Shehbaz Sharif, Chief Minister, Punjab and Kh... http://fb.me/353xZ8073 ",2014-07-12T10:03:42,betterpakistan
4.88E+17,Interfaith/News(IFN),"@betterpakistan: Discussed Energy Projects of Pak China Economic Corridor with Mr. Shehbaz Sharif, Chief Minister, Punjab and Kh...	2014-07-12T10:11:33	KhanMultannama	1	1
NawazShahbazLovers	4.88255E+17	Khadim E Aala discussed Energy Projects of Pak China",,
4.78E+17,Iftikhar Firdous,"The Karakorum Highway is on fire, the nightmares of the engineers of the Pak China economic corridor are coming true. #ProxyWars",2014-06-14T04:56:53,IftikharFirdous
4.78E+17,Iftikhar Firdous,Pak China Economic Corridor  | TTP man snatched Chinese tourist http://tribune.com.pk/story/721632/ttp-man-snatched-chinese-tourist/ … via @etribune,2014-06-14T06:57:45,IftikharFirdous
4.80E+17,Ahsan Iqbal,Chinese media was briefed on Pak China Economic Corridor. http://fb.me/6OnTaI78M ,2014-06-20T13:08:02,betterpakistan
4.81E+17,वन्दे मातरम,"China-Pak deal on economic corridor passing through PoK- चीन की दोहरी चाल: दिल्‍ली में की मीठी बातें, इस्‍लामाबाद में किया भारत विरोधीसमझौता",2014-06-24T13:41:59,Shreeharigmail
4.82E+17,Vishnu Prakash,As USA disengages & China deepens ties with Arab nations; trade grows to $239bn; economic corridor thro Pak planned http://www.koreatimes.co.kr/www/news/opinon/2014/06/197_159782.html …,2014-06-26T03:03:16,AmbVPrakash
4.83E+17,India Cause,"Bangladesh-China-India-Myanmar Economic Corridor.

Beijing explores India, China, Pak joint security mechanism... http://fb.me/6AmstN9lM ",2014-06-27T18:30:01,indiacause
