id,name, text, timestap, username
8.64936E+17,Zaid Hamid,"May 14th....Pak China sign new accord worth billions.. Initially it was $46bn for CPEC, still increasing.
All loans? what terms ? any idea? pic.twitter.com/JktRX7hzYU",2017-05-17T20:08:22,ZaidZamanHamid
8.64936E+17,Youthia Hunter,"Umar Cheema trolling CPEC and Chinese brotherly gestures, Im sure  Panama issue was also his ""progress"" distracting tactic.
@MaryamNSharif",2017-05-17T20:08:41,Bla_Bla_Bla_98
8.64936E+17,Ahmad Noorani,i know. yet we all must raise any Qs about CPEC & those asking Qs must not b attacked. Still I havnt seen any correct & specific objection.,2017-05-17T20:08:59,Ahmad_Noorani
8.64936E+17,GSFNetwork,CPEC could destroy Pakistan economy and society http://economictimes.indiatimes.com/news/defence/cpec-could-destroy-pakistan-economy-and-society/articleshow/58722033.cms … @GSFNAsia @GSFNChina,2017-05-17T20:09:54,GSFNetwork
8.64936E+17,Mansoor Ahmed Quresh,#CPEC  Another early harvest milestone achieved by connecting first unit of #Sahiwal Coal power plant to national grid providing 660 MW.pic.twitter.com/h8krCZ6rUw,2017-05-17T20:10:03,MansoorAhmedQu2
8.64936E+17,abdul jamil ghurzang,and beghairat brigade is accepting CPEC unconditionally,2017-05-17T20:10:10,ghurzangAfghan
8.64936E+17,Aasim Naseem  🇵🇰,"May 14th....Pak China sign new accord worth billions.. Initially it was $46bn for CPEC, still increasing.
All loan… https://twitter.com/ZaidZamanHamid/status/864935648104513536 …",2017-05-17T20:10:24,AasimNaseem
8.64937E+17,خاور حبیب,"We got ""Chinese Trump"", in Pakistan. How dare he is to give ""shut up"" call to Pakistanis, for whatever they are asking about CPEC. https://twitter.com/zlj517/status/864913196938911744 …",2017-05-17T20:11:48,t_vitar
8.64937E+17,Zaid Hamid,"This report says CPEC has gone up to 51.5 billion dollars....already and no guarantee where it will cap...$100bn????
http://www.baaghi.tv/cpec-net-worth-increased-to-51-5-billion/ …",2017-05-17T20:11:50,ZaidZamanHamid
8.64937E+17,شاہان اسحاق خٹک,"Chinese are not here to takeovr Both states working on mutual benefits; more to Pakistan in the case of CPEC. 

#LongLivePakChinaFriendship",2017-05-17T20:12:57,Shahaanishaq
8.64937E+17,Apathy Kills,"""CPEC could destroy Pakistan economy and society - Economic Times"" http://ift.tt/2rs1dSS ",2017-05-17T20:13:29,DeMOCKERYcy
8.64937E+17,Breaking News,CPEC could destroy Pakistan economy and society – Economic Times https://indbreaking.wordpress.com/2017/05/18/cpec-could-destroy-pakistan-economy-and-society-economic-times/ …,2017-05-17T20:14:31,india_breaking
8.64937E+17,"Hassan R. Hashmi, MD",@UmarCheema1 Even I asked about clarity on money involved in #CPEC. Worthy @zlj517 himself invited everyone to ask questions.https://twitter.com/HassanRHashmi/status/864381115548786689 …,2017-05-17T20:14:33,HassanRHashmi
8.64937E+17,Rafi,I haven't seen any tangible figures about CPEC either. Even the agreements with Chinese companies are deemed state secrets. ,2017-05-17T20:15:15,Rafi_AAA
8.64938E+17,SHAHEEN SEHBAI,"SHUT UP CALL: Already Chinese r giving Shut up calls 2 Pakistanis. Once they bring thousands of troops 2 protect CPEC, we will hv to shut up https://twitter.com/zlj517/status/864913196938911744 …",2017-05-17T20:15:51,SSEHBAI1
8.64938E+17,Aqsa Qamar,Khabar Roze Ki - 17th May 2017 - Challenges for CPEC http://dlvr.it/P9YH8d pic.twitter.com/UaxpNZuixV,2017-05-17T20:16:20,AqsaQamar1
8.64938E+17,Adv. Motahar Hossain,OBOR: CPEC could destroy Pakistan economy and society - The Economic Times https://lnkd.in/fD-tAtN ,2017-05-17T20:16:23,smh_adv
8.64938E+17,Shakil Khokhar,Amazing documentary about rebuilding #KKH https://youtu.be/4TQ0rbRh9KY  #CPEC,2017-05-17T20:17:10,ShakilKhokhar
8.64938E+17,Vishal Shah ®,CPEC could destroy Pakistan economy and society - Economic Times http://ift.tt/2pUXPQb ,2017-05-17T20:17:26,vishalfast007
8.64938E+17,Aasim Naseem  🇵🇰,This report says CPEC has gone up to 51.5 billion dollars....already and no guarantee where it will cap...$100bn??… https://twitter.com/ZaidZamanHamid/status/864936520515555328 …,2017-05-17T20:18:19,AasimNaseem
8.64938E+17,Avneet Thapar Hall,As an indian I think CPEC is very beneficial to all parties. But one needs 2 be a long term thinker & devoid of geopolitics to understand.,2017-05-17T20:18:49,AvneetThapar
8.64939E+17,تیزابی ٹویٹ,for OBOR not for CPEC,2017-05-17T20:20:33,cybermate007
8.64939E+17,Amrita Bhinder,"China's CPEC plan reveals  destruction, not prosperity for Pakistan's economy and society. http://ecoti.in/B7xShb ",2017-05-17T20:20:40,amritabhinder
8.64939E+17,Mohammed Shahbaz,میں نے  #CPEC کے متعلق بڑھکوں کے علاوہ جو بھی پڑھا ہے اس میں کلیریٹی اور شارپ منصوبہ بندی کی ضرورت ہے اور یہ سب پرچی شریف نہیں کر سکتا۔,2017-05-17T20:22:05,shahbazriadh
8.6494E+17,Muhammad Talha Khan,..CPEC wouldn't create any difference unless these God fathers is in power ..,2017-05-17T20:23:55,geniusboy2899
8.6494E+17,Pulljaan Baloch,Pakistani Army conducted a heavy aggression near CPEC route called Pidraak countless people got oppressed&victimized many abducted  @UN,2017-05-17T20:26:30,Gamwarkoohi
8.6494E+17,Tahir Raza,"Give details of CPEC ""All agreements"". Why Pakistani youth isnt getting Jobs in ongoing Engineeering & surveillance projects (Safe City)?",2017-05-17T20:26:35,traza92
8.64941E+17,Salaar Sulaman,"USD 56 billion are the peanuts, actual target is USD 500 to 3000 reserves of Ricodeck. Is that what #CPEC is all about? https://twitter.com/ssehbai1/status/864936719182942208 …",2017-05-17T20:28:14,salaarsulaman
8.64941E+17,between the Wicket,Sir Aap bhi aik show karain CPEC k against aap ko bhi shutup call ayge !!,2017-05-17T20:28:49,HasanJahan2
8.64941E+17,Mumtaz,Noorani...China is world leader in censorship/surveillance. Are u sure that involvement of CPEC's size will have no effect on our freedoms?,2017-05-17T20:29:21,mumti
8.64941E+17,Megha Ashok Gawde,CPEC could destroy Pakistan economy and society http://www.ecoti.in/STRFOZ ,2017-05-17T20:30:59,Megha_Gawde
8.64942E+17,Ahmad Noorani,"i m not defending CPEC. Just trying to find out valid questions. If i wil hav hav valid Qs, it will make a big story. I dont hav any so far.",2017-05-17T20:32:01,Ahmad_Noorani
8.64942E+17,سادہ پشتون,پشتون بیلٹ شامل ہوجائےگا انشاءاللہ کیونکہ پشتونوں اور بلوچوں کو شامل کئے بغیر #CPEC کی کامیابی کے امکانات بہت کم ہیں,2017-05-17T20:32:21,JanNazar1
8.64942E+17,"Hassan R. Hashmi, MD","@zlj517 While honest Questions to educate oneself should be encouraged, attempts to deliberately malign #CPEC should be discouraged.",2017-05-17T20:32:51,HassanRHashmi
