id,name, text, timestap, username
5.07E+17,Raheen Fatimah Khan,Pak govt is building economic corridor with China from Gilgit-Baltistan to Gawadar which would be giving massive increase to exports/imports,2014-09-04T07:23:16,RaheenFKhan
5.08E+17,Khurram Afzal Malik,"EXIM Bank of China to invest billions of $$ in Pakistan, especially in energy sector & Pak-China Economic Corridor http://www.dailytimes.com.pk/business/04-Sep-2014/china-bank-to-invest-billions-in-pakistan …",2014-09-04T13:27:16,khurramamalik
5.08E+17,Kamal Faridi,#Pakistan Pak-China Economic Corridor: speakers highlight various aspects of project - Business Recorder: Pak-... http://bit.ly/1rcCWIM ,2014-09-05T09:35:56,kamaluf
5.08E+17,Ch Irfan Ahmed,"@MusadaqZ u r right sir, The revenues from Pak-China Economic Corridor will pull Pak out of debt but will hurt uae and indian interests ...",2014-09-05T09:45:16,ChIrfaan
5.08E+17,Sher Khan,Pak-#China Economic Corridor: speakers highlight various aspects of project | Business Recorder http://www.brecorder.com/business-a-economy/189:pakistan/1221012:pak-china-economic-corridor-speakers-highlight-various-aspects-of-project/ …,2014-09-05T13:51:18,SherKhan77
5.08E+17,RawalTV,Pak-China Economic Corridor: speakers highlight various aspects of project... http://fb.me/3IVZ1fi6Q ,2014-09-05T16:53:27,RawalTV
5.09E+17,Rana Hammad Khan,@7771Jake pak-china economic corridor is the game changer for both countries.china want assistance to warm countries of asia through gawadar,2014-09-09T11:18:52,ranahammadkhan
5.09E+17,Claude Frollo,"A detailed document about the different projects included in the Pak-China Economic Corridor. #Pakistan #China
http://www.intermodal-asia.com/files/aasim_siddiqui__apsa.pdf …",2014-09-09T14:01:58,Masseria41
5.12E+17,Radio Pakistan,Fatemi terms Pak-China economic corridor as vital for economic development of region http://www.radio.gov.pk/newsdetail/70844/1 …,2014-09-16T09:54:16,RadioPakistan
5.12E+17,Eye-S-Eye,Fatemi terms Pak-China economic corridor as vital for economic development of region http://www.radio.gov.pk/newsdetail/70844/1 … …,2014-09-16T09:54:47,AnalysisCell
5.12E+17,Youth-is-Pakistan,Fatemi terms Pak-China economic corridor as vital for economic development of region http://www.radio.gov.pk/newsdetail/70844/1 … …,2014-09-16T09:55:32,YouthIsPakistan
5.12E+17,Pani Shani,Fatemi terms Pak-China economic corridor as vital for economic development of region http://www.panishani.com/2014/09/fatemi-terms-pak-china-economic-corridor-as-vital-for-economic-development-of-region/ …,2014-09-16T10:10:38,panishani
5.12E+17,Govt of Pakistan,"Fatemi terms Pak-China economic corridor as vital for economic development of region
http://www.radio.gov.pk/newsdetail/70844/1 …",2014-09-16T10:52:35,pid_gov
5.12E+17,Irfan Ahmed,#LattooRepublic Fatemi terms Pak-China economic corridor as vital for economic development of reg... http://bit.ly/1uCZnvM  #TheIrfanism,2014-09-16T11:16:30,lattoo72
5.12E+17,Lattoo Republic,#LattooRepublic Fatemi terms Pak-China economic corridor as vital for economic development of reg... http://bit.ly/1uCZnvM  #TheIrfanism,2014-09-16T11:16:32,lattoorepublic
5.12E+17,TwinFrame Films,#LattooRepublic Fatemi terms Pak-China economic corridor as vital for economic development of reg... http://bit.ly/1uCZnvM  #TheIrfanism,2014-09-16T11:16:34,twinframefilms
5.12E+17,hamaramagnews,Fatemi terms Pak-China economic corridor as vital for economic development of region,2014-09-16T15:00:20,hamaramagnews
5.12E+17,SaimaSyed,Fatemi terms Pak-China economic corridor as vital for economic development of region,2014-09-16T16:12:22,kabirAli2014
5.14E+17,khalid rafiq,Pak-China Economic Corridor project to benefit entire region http://www.aaj.tv/2014/09/pak-china-economic-corridor-project-to-benefit-entire-region/ …,2014-09-23T17:15:04,khalidrafiq138
5.14E+17,khalidrafiq,Pak-China Economic Corridor project to benefit entire regionAaj Tv,2014-09-23T17:24:22,khalidrafiq101
5.14E+17,Blazing_Fast_All_Inf,Pak-China Economic Corridor project to benefit entire region http://dlvr.it/70B88S ,2014-09-23T17:24:34,Blazing_Info
5.14E+17,BreakingNewsPakistan,Pak-China Economic Corridor project to benefit entire region http://www.breakingnewspak.com/pak-china-economic-corridor-project-to-benefit-entire-region/ … #Pakistanpic.twitter.com/3V01IpwUgT,2014-09-23T17:34:24,BreakingNewPak
5.14E+17,khalidrafiq,Pak-China Economic Corridor project to benefit entire region http://dlvr.it/70BSnC ,2014-09-23T17:42:06,khalidrafiq106
5.14E+17,khan warriorz,Pak-China Economic Corridor project to benefit entire region  #6,2014-09-23T17:59:38,khanwarriorz
5.15E+17,Information Ministry,http://infopak.gov.pk/NewsDetail.aspx?id=973 … http://infopak.gov.pk/NewsDetail.aspx?id=973#.VCJb88sXu0k.twitter … Pak-China Economic Corridor project to benefit entire region #NEWSALERT #Cyberinfo #Pakistan,2014-09-24T05:52:16,MoIB_Official
5.15E+17,Intermodal Europe,'Developing the Pak-China Intermodal Economic Corridor to facilitate Sino-Europe Trade' #IME14 #Conference http://www.intermodal-events.com/page.cfm/Action=Press/libID=1/listID=1/t=m/goSection=10_23 …,2014-09-24T08:16:38,IntermodalEU
5.15E+17,Erum Khursheed,"Pak-China Economic corridor is of immense importance for revival of Pak’s economy: Mushahid  http://www.pstimes.com/2014/09/24/pak-china-economic-corridor-is-of-immense-importance-for-revival-of-paks-economy-mushahid …
@tnnbiznis @b2b_pakistan",2014-09-24T21:24:20,Erum_Khursheed1
5.16E+17,frederic lefevre,Pak-China Economic Corridor to help revive economy: Mushahid - Associated Press of Pakistan http://bit.ly/1uMleyR ,2014-09-26T14:02:15,FredoMalin1976
5.16E+17,hamaramagnews,Pak-China Economic Corridor to help revive Pakistani economy: Mushahid Hussain,2014-09-26T15:43:08,hamaramagnews
5.16E+17,The Democrate,Pak-China Economic Corridor to help revive Pak economy.Mushahid http://wp.me/p4s14Z-1H7 ,2014-09-26T22:27:44,thedemocrate
5.16E+17,Radio Pakistan,Pak-China economic corridor to transform bilateral relations into a real economic strategic partnership: Ahsan Iqbal http://radio.gov.pk/newsdetail/71141/1 …,2014-09-28T04:38:32,RadioPakistan
