id,name, text, timestap, username
4.53E+17,W/Qaiserdikhan,"sms3 cpecsp ministry of planing
store incharge
recptionist
dispatch rider
N Qasids
quard
head cpec
sr engr
projct mangment specialst
list 80",2014-04-07T10:53:36,qaiserdikhan
4.56E+17,Celeste,Cpec ,2014-04-15T01:05:34,ccelestemorales
4.56E+17,Muhammad Habib Ullah,"Pakistan, China to collaborate in 21690 MW projects under CPEC http://dlvr.it/5Pn9zf ",2014-04-15T20:35:07,habib_v
4.56E+17,Abdur Rahman,"Pakistan, China to collaborate in 21,690 MW projects under CPEC http://www.pakistantoday.com.pk/2014/04/15/business/pakistan-china-to-collaborate-in-21690-mw-projects-under-cpec/ …",2014-04-16T09:29:07,AayaaR
4.56E+17,Mudassir Ghafoor,"Pakistan, China to collaborate in 21,690 MW projects under CPEC #ForRoshanPakistan",2014-04-16T09:38:03,MudassirMadi
4.56E+17,Saud,"China-Pakistan Economic Corridor:
16 power projects including construction of transmission lines would be completed by 2017 #CPEC #PMLN",2014-04-16T10:00:13,SaudSami
4.56E+17,Saud,"7,000MW Projects of coal, wind, solar & hydel will be initiated this year in Sep & completed in next three years #CPEC #PMLN",2014-04-16T10:02:06,SaudSami
4.56E+17,Zubair Faridi,"Pakistan, China to collaborate in 21,690 MW projects under CPEC http://www.pakistantoday.com.pk/2014/04/15/business/pakistan-china-to-collaborate-in-21690-mw-projects-under-cpec/ …",2014-04-16T14:12:54,Zubair_Faridi87
4.57E+17,PMLN MANCHESTER,"Pakistan, China to collaborate in 21,690 MW projects under CPEC http://fb.me/6jV3UzZQz ",2014-04-17T07:42:08,irfansunny80
4.59E+17,Solarization Welfare,"Pakistan, China to collaborate in 21,690 MW projects under CPEC http://www.pakistantoday.com.pk/2014/04/15/business/pakistan-china-to-collaborate-in-21690-mw-projects-under-cpec/ …",2014-04-24T09:32:38,solarizati0n
4.54E+17,Ali Warsi,"PM reviews progress on Pak, China Economic Corridor, infrastructure projects http://fb.me/3aQJTtkFd ",2014-04-08T18:49:22,thealiwarsi
4.54E+17,TheBuGz,"Sharif, Li to firm up plans for China-Pak Economic Corridor - Business Standard: Business RecorderSharif, Li t... http://bit.ly/1kKzPGd ",2014-04-09T14:07:31,TheBuGz
4.54E+17,Edufive.com,"Sharif, Li to firm up plans for China-Pak Economic Corridor - Business Standard http://goo.gl/SLxfUo  #EdufiveSeminarNews",2014-04-09T14:11:43,edufive
4.54E+17,Chitra Joshi,China says it’s ready to build economic corridor with Pak: China is ready to work with Pakistan to complete a ... http://bit.ly/1kbrb5r ,2014-04-11T04:30:01,ChitrapJoshi
4.54E+17,Rajat Gabale,China says it’s ready to build economic corridor with Pak: China is ready to work with Pakistan to complete a ... http://bit.ly/1kbrb5r ,2014-04-11T04:30:03,RajatGabale
4.54E+17,Kirtikumar Divekar,China says it’s ready to build economic corridor with Pak: China is ready to work with Pakistan to complete a ... http://bit.ly/1kbrb5r ,2014-04-11T04:30:04,KirtikumarDive
4.54E+17,Ajit Gurav,China says it’s ready to build economic corridor with Pak: China is ready to work with Pakistan to complete a ... http://bit.ly/1kbrb5r ,2014-04-11T04:30:06,AjitkGurav
4.54E+17,Arjit Raut,China says it’s ready to build economic corridor with Pak: China is ready to work with Pakistan to complete a ... http://bit.ly/1kbrb5r ,2014-04-11T04:30:07,ArjitRaut
4.54E+17,Anshu Mohite,China says it’s ready to build economic corridor with Pak: China is ready to work with Pakistan to complete a ... http://bit.ly/1kbrb5r ,2014-04-11T04:30:09,AnshuMohite
4.54E+17,Rajesh Rao,China says it’s ready to build economic corridor with Pak: China is ready to work with Pakistan to complete a ... http://bit.ly/1kbrb5r ,2014-04-11T04:30:10,RajeshdRao
4.54E+17,Ashish Deshmukh,China says it’s ready to build economic corridor with Pak: China is ready to work with Pakistan to complete a ... http://bit.ly/1kbrb5r ,2014-04-11T04:30:11,AshishDmukh
4.54E+17,Bibhas Pawar,China says it’s ready to build economic corridor with Pak: China is ready to work with Pakistan to complete a ... http://bit.ly/1kbrb5r ,2014-04-11T04:30:14,BibhasPawar
4.54E+17,OfficeOfSanghi,China says it’s ready to build economic corridor with Pak http://bit.ly/1kbrdKy ,2014-04-11T04:30:16,VerifiedSanghi
4.54E+17,Firstpost,China says it’s ready to build economic corridor with Pak http://dlvr.it/5MpJxf ,2014-04-11T04:36:04,firstpost
4.54E+17,prateeksingh,China says it's ready to build economic corridor with Pak http://www.firstpost.com/?p=1475685 ,2014-04-11T04:41:37,prateek12326766
4.54E+17,Support Modi,#iVoteForBest China says it’s ready to build economic corridor with Pak http://bit.ly/ON70yq ,2014-04-11T04:42:19,iVoteForBest
