id,name, text, timestap, username
5.39E+17,Divyabhaskar,"ભારતને ‘ઘેરો ઘાલવા’નો ચીનનો પ્લાનઃ પાકિસ્તાને શરૂ કરી CPEC યોજના
http://www.divyabhaskar.co.in/news/INT-pakistan-kicks-off-china-pakistan-economic-corridor-4825430-PHO.html …pic.twitter.com/PU6GRM4k2D",2014-12-01T06:13:45,Divya_Bhaskar
5.39E+17,Amit Mutreja,@PMOIndia @narendramodi @BJPRajnathSingh @SushmaSwaraj how can we let China to build projects in POK which is still claimed by India? #CPEC,2014-12-01T07:49:39,amitmutrezas
5.40E+17,Marcus McDonald,Using constructive alignment to advocate for access to learning for children with disability. Go ed. #cpec #acdpic.twitter.com/2lFCnYRAqW,2014-12-03T09:26:41,Circangle
5.40E+17,Adeem Ghaffar Rana,"4. MoU on outline of Long-Term CPEC Plan
#JoinHandsWithNS",2014-12-03T12:17:28,ranaadeem
5.40E+17,Adeem Ghaffar Rana,"5. MoU on capacity building for development of CPEC
#JoinHandsWithNS",2014-12-03T12:17:39,ranaadeem
5.40E+17,Adeem Ghaffar Rana,"6. Agreement on CPEC energy projects cooperation
#JoinHandsWithNS",2014-12-03T12:17:52,ranaadeem
5.40E+17,Zaheer Abbas,"""@ranaadeem: 6. Agreement on CPEC energy projects cooperation
#JoinHandsWithNS""",2014-12-03T12:25:16,MZaheerAbbas1
5.40E+17,Nauman Feroz,#JoinHandsWithNS Agreement on CPEC Energy Projects Cooperation between #China and Pakistan,2014-12-03T16:03:36,nomiferoz
5.40E+17,Nauman Feroz,#JoinHandsWithNS MoU on the outline of the Long-Term Plan of CPEC,2014-12-03T16:26:14,nomiferoz
5.40E+17,Nauman Feroz,#JoinHandsWithNS MoU on Capacity Building for Development of CPEC between NDRC of China and Ministry of Planning Development  Reform of Pak,2014-12-03T16:26:42,nomiferoz
5.40E+17,Nauman Feroz,#JoinHandsWithNS Agreement on CPEC Energy Projects Cooperation,2014-12-03T16:27:35,nomiferoz
5.40E+17,frederic lefevre,NHA to connect Gwadar with Khunjerab under CPEC project - Associated Press of Pakistan http://bit.ly/1AiVBsM ,2014-12-04T07:37:11,FredoMalin1976
5.42E+17,khalid rafiq,Chinese State Councillor assures to complete CPEC project http://ift.tt/1qhgiVz ,2014-12-08T06:00:54,khalidrafiq138
5.42E+17,Falcon,#Pakistan Chinese State Councillor assures to complete CPEC project http://ow.ly/2RIZI2 ,2014-12-08T06:04:52,Ooqaabi_Nazar
