id,name, text, timestap, username
5.62E+17,Utterly_ ul-Haq,@NazranaYusufzai they are just gonna make the Karachi Lahore motorway and will call it the CPEC,2015-02-01T14:10:27,ectopic_tweet
5.62E+17,Utterly_ ul-Haq,@shobi921 @NazranaYusufzai @stalemt but this whole map and stuff is wrong... This just follows the existing roads & calls them CPEC,2015-02-01T14:28:03,ectopic_tweet
5.62E+17,Utterly_ ul-Haq,@shobi921 the map they are showing is a myth... Just drew lines on existing roads and called it CPEC,2015-02-01T14:37:00,ectopic_tweet
5.62E+17,Utterly_ ul-Haq,@shobi921 the only new road being made is CPEC,2015-02-01T14:37:20,ectopic_tweet
5.62E+17,Utterly_ ul-Haq,@shobi921 M-8 once it is completed... Can and will serve as CPEC,2015-02-01T14:38:08,ectopic_tweet
5.62E+17,Utterly_ ul-Haq,"@FazalSafi @NazranaYusufzai the CPEC cannot, will not, should not go through Lahore or eastern Punjab",2015-02-01T15:13:20,ectopic_tweet
5.62E+17,Utterly_ ul-Haq,@Aafaq10 @mashal1144 one question... Do you even know what CPEC even is?,2015-02-01T15:42:26,ectopic_tweet
5.62E+17,Aafaq Khattak (아파크),"@fazeel_randhawa No what is CPEC, #RejectAlternativeRoute",2015-02-01T15:44:45,Aafaq10
5.62E+17,Utterly_ ul-Haq,@ZarrarKhuhro and 3rd... The info they have isn't even correct... It's just false... CPEC isn't going to go through Lahore,2015-02-01T16:30:13,ectopic_tweet
5.62E+17,Utterly_ ul-Haq,@mashal1144 @Aafaq10 in the name of Pashtun nationalism... It's just false info... The CPEC roads... The actual ones.. Aren't going thru Lah,2015-02-01T16:36:21,ectopic_tweet
5.62E+17,Utterly_ ul-Haq,@stalemt the CPEC won't go through Lahore or even Multan... Stop sharing lies,2015-02-01T19:11:26,ectopic_tweet
5.62E+17,Utterly_ ul-Haq,@MohsinHijazee that CPEC won't go through Lahore or even Multan... They changed the route from Western bank of Indus to Eastern,2015-02-01T19:38:06,ectopic_tweet
5.62E+17,Utterly_ ul-Haq,@ImtiazAliRao @MohsinHijazee @asif12252 CPEC won't go through Lahore/Multan... Just some idiots who can't read map,2015-02-01T19:46:46,ectopic_tweet
5.64E+17,Planning Commission,Minister @betterpakistan held press conference to dispel misunderstandings surrounding China-Pak Economic Corridor #CPEC,2015-02-06T08:10:00,PlanComPakistan
5.64E+17,Planning Commission,"#CPEC is not the name of a single route, its amalgamation of trade links between whole region, says @betterpakistan",2015-02-06T08:10:56,PlanComPakistan
5.64E+17,Planning Commission,"China Pak Economic Corridor #CPEC are apolitical schemes for Pak''s future, vested interests shd not come in the way, says @betterpakistan",2015-02-06T08:12:13,PlanComPakistan
5.64E+17,Syed irfan shah,"#CPEC is not the name of a single route, its amalgamation of trade links between whole region, says @betterpakistan""",2015-02-06T10:39:27,saienshah1
5.64E+17,Syed irfan shah,"China Pak Economic Corridor #CPEC are apolitical schemes for Pak''s future, vested interests shd not come in the way, says @betterpakistan""",2015-02-06T10:39:42,saienshah1
5.64E+17,AfPak Now,Chinese President Xi Jinping's visit to #Pakistan will kick off $45 bn #China -#Pakistan Economic Corridor (CPEC) http://bit.ly/1ADViMS ,2015-02-07T04:44:57,AfPakNow
5.64E+17,Hassan Iqbal,#Xi_jinping will visit pakistan this september to kick off the $45 billion (CPEC) projects . says planning and development minister .,2015-02-07T20:47:09,chemicalengg26
5.64E+17,IG: Niggat_starboi,"CPEC @IamDorobuCci: What's the name of your church?
#_BuhariGoToICC_ #VoteBuhari",2015-02-08T06:25:41,TOCHIE007
5.65E+17,Planning Commission,"Minister Ahsan Iqbal dispels misconceptions regarding change of route of China-Pak Economic Corridor #CPEC
http://bit.ly/1C9Pclb ",2015-02-09T06:22:28,PlanComPakistan
5.65E+17,Investment Analysis,CPEC-Series-B1 - #UnitedKingdom : #Investment #Risk Forecast thin Feb 2015 : http://dg-di.co/FND/025850.htm  #MarketResearchReport,2015-02-10T01:12:38,Investment_Risk
5.65E+17,Investment Analysis,CPEC-Series-B2 - #UnitedKingdom : #Investment #Risk Forecast tenuous Feb 2015 : http://dg-di.co/FND/025846.htm  #MarketResearchReport,2015-02-10T01:13:25,Investment_Risk
5.65E+17,Investment Analysis,CPEC-Series-B3 - #UnitedKingdom : #Investment #Risk Forecast erratic Feb 2015 : http://dg-di.co/FND/025845.htm  #MarketResearchReport,2015-02-10T01:14:27,Investment_Risk
5.65E+17,Investment Analysis,CPEC-Series-B4 - #UnitedKingdom : #Investment #Risk Forecast sickly Feb 2015 : http://dg-di.co/FND/025844.htm  #MarketResearchReport,2015-02-10T01:15:10,Investment_Risk
