id,name, text, timestap, username
5.72E+17,Sultan Hali,"@betterpakistan This is Hali, inviting you to participate in my TV show @Defdiplomacy one-on-one to allay some misconceptions regarding CPEC",2015-03-01T05:47:35,nairangezamana
5.72E+17,Xinjiang News Links,"No change in Pak-China economic corridor, says China: The CPEC starting from Kashgar in China’s Xinjiang provi... http://binged.it/1M1igjD ",2015-03-01T18:35:22,dlXinjiang
5.72E+17,Xinjiang News Links,China rejects rumours about change in proposed route of economic corridor: The CPEC starts from Kashgar in Chi... http://binged.it/1aHLlTJ ,2015-03-01T18:35:22,dlXinjiang
5.72E+17,Xinjiang News Links,"No change in Pak-China economic corridor, says China: The CPEC starting from Kashgar in China’s Xinjiang provi... http://binged.it/1GDT4g8 ",2015-03-01T20:18:48,dlXinjiang
5.72E+17,1 Second Ago,BUSINESS: CPEC project to shower dividends across country - The Nation http://bit.ly/1E89Bcn ,2015-03-02T02:13:39,1secondago
5.72E+17,757Live Pakistan,#CPEC project to shower dividends across country http://757l.tk/1CfU8ba ,2015-03-02T02:34:25,757LivePK
5.72E+17,Govt of Pakistan,"Chinese official rules out any change in CPEC route
http://www.radio.gov.pk/newsdetail/74621/1 …",2015-03-02T05:20:00,pid_gov
5.73E+17,Just Editorials,CPEC merits unity @DailyTimes_DT http://goo.gl/KRq1CQ ,2015-03-02T22:50:43,JustEditorials
5.73E+17,Business Recorder,"Opposition walk out from Senate to protest alleged changes in CPEC route

For Details:... http://fb.me/7eGDN9f7J ",2015-03-03T14:45:05,brecordernews
5.73E+17,BreakingNewsPakistan,Opposition walks out from Senate to protest CPEC route change http://www.breakingnewspak.com/opposition-walks-out-from-senate-to-protest-cpec-route-change/ … #Pakistan,2015-03-03T14:48:20,BreakingNewPak
5.73E+17,khalid rafiq,Opposition walks out from Senate to protest CPEC route change http://ift.tt/1M394tf ,2015-03-03T14:52:35,khalidrafiq138
