id,name, text, timestap, username
4.63E+17,raffpantucci,Chinese engineers report on the KKH http://www.nihao-salam.com/news-detail.php?id=OTQ5Ng== … the CPEC makes progress,2014-05-04T15:28:57,raffpantucci
4.63E+17,raffpantucci,Chinese and Pakistani finance ministers talk about the CPEC and the Asia Infrastructure Investment Bank http://www.nihao-salam.com/news-detail.php?id=NTUxOQ== …,2014-05-05T18:13:38,raffpantucci
4.62E+17,PMLN MANCHESTER,@MinallahAthar sir KPK hqoomat Pak China economic corridor k khilaf kio awaz nahi uthati waha b hazaro trees cut's ho gay,2014-05-01T16:44:03,irfansunny80
4.64E+17,PMLN MANCHESTER,Pak China Economic Corridor Key Ibtedah http://fb.me/19ksSVrKa ,2014-05-07T02:29:36,irfansunny80
4.65E+17,M Usman,Pak China Economic Corridor is yet another master stroke by the current government #11MaySherAya,2014-05-10T09:47:37,patwariReloaded
4.65E+17,Kamil Khan KakaZai,#11MaySherAya Pak China Economic corridor to be an economic game changer,2014-05-10T13:10:54,KakaZai_1
4.65E+17,​اسلم خان تنولی PMLN,#11MaySherAya Pak China Economic corridor to be an economic game changer,2014-05-10T14:38:37,aslamkhantanoli
4.65E+17,Nadeem Shafique Butt,#11MaySherAya Pak China Economic corridor to be an economic game changer,2014-05-11T04:35:37,nadeemshafique
4.65E+17,M.Jahanzaib,"#11MaySherAya No doubt,  Pak China Economic corridor to be an economic game changer.",2014-05-11T05:16:38,JZCHAUDHARY
4.65E+17,Malik Kashif Bawa,"#11MaySherAya No doubt,  Pak China Economic corridor to be an economic game changer.""",2014-05-11T05:25:00,MALIKKASHIF23
4.65E+17,ZM,China-Pak Economic Corridor: PM approves over $38bn projects http://www.dailytimes.com.pk/national/09-May-2014/china-pakistan-economic-corridor-pm-approves-over-38bn-projects …,2014-05-11T08:50:50,ZeshanMalick
4.65E+17,Fahad Ali,"#11MaySherAya 
RT""@ZeshanMalick: China-Pak Economic Corridor: PM approves over $38bn projects http://www.dailytimes.com.pk/national/09-May-2014/china-pakistan-economic-corridor-pm-approves-over-38bn-projects …""",2014-05-11T09:04:23,F_Ali_
4.65E+17,بینکر پٹواری♚,"Pak China Economic corridor to be an economic game changer PM Nawaz Sharif 
#11MayPMLNDaypic.twitter.com/N6yoFKzPaN",2014-05-11T12:32:06,mbbokhari
4.66E+17,Ibtisam,#11MayPMLNDay Pak China Economic corridor to be an economic game changer,2014-05-11T14:49:55,IbtisamAdv
4.66E+17,M. Shams-Uz-Zaman,#11MayPMLNDay Pak China Economic corridor to be an economic game changer....,2014-05-11T17:07:37,MShamsZ
4.66E+17,Business Recorder,"#Pak-China economic corridor envisages industrial cooperation from #Gawadar to #Kashgar: #Bokhari

For Details:... http://fb.me/30xU1yP8d ",2014-05-13T12:20:03,brecordernews
4.66E+17,Iftikhar Firdous,"The biggest emerging problem of security & human rights abuse is in Gilgit Baltistan, major hindrance for the Pak - China Economic Corridor",2014-05-13T21:55:29,IftikharFirdous
4.68E+17,Terminal X (TX),#India protests with Beijing over Pak-#China Economic Corridor http://goo.gl/fb/M5IfQ  #pakchinaeconomiccorridor,2014-05-19T15:16:25,terminalxpk
4.68E+17,Sheraz Masoud Gondal,#India protests with Beijing over Pak-#China Economic Corridor http://goo.gl/fb/M5IfQ ,2014-05-19T16:05:41,itxSMG
4.69E+17,Pakistan News,"China-Pak economic corridor to boost trade, tourism, industry: NHA Chairman http://goo.gl/fb/nN6eE  via @paknews",2014-05-21T09:22:00,paknews
4.69E+17,Govt of Pakistan,"China-Pak economic corridor to boost trade, tourism, industry: NHA Chairman
http://www.app.com.pk/en_/index.php?option=com_content&task=view&id=282692&Itemid=1 …",2014-05-21T10:32:10,pid_gov
4.69E+17,World News Streaming,"China-Pak economic corridor to boost trade, tourism, industry: NHA Chairman http://www.brecorder.com/pakistan/general-news/173606-china-pak-economic-corridor-to-boost-trade-tourism-industry-nha-chairman.html …",2014-05-21T11:54:15,worldNewsStream
