id,name, text, timestap, username
5.31E+17,Psychologist Rani 💕,"#PMChinaVisit

Federal government approved CPEC support project rs 4.09mn to implemnt CPEC project",2014-11-07T16:03:27,PsycO_Pari_Wish
5.31E+17,Psychologist Rani 💕,"#PMChinaVisit
CPEc a streamline to process headline by PM.",2014-11-07T16:04:21,PsycO_Pari_Wish
5.31E+17,Nauman Feroz,Agreement on the CPEC Energy Projects Co-operation will be signed during #PMChinaVisit,2014-11-07T16:52:50,nomiferoz
5.31E+17,Almas Abbasi,CPEC will be a great work for Pakistan by NS #PMChinaVisit,2014-11-08T14:54:41,almas_abbasi
5.31E+17,Nauman Feroz,@MaryamNSharif #PMChinaVisit   MoU on the outline of the Long-Term Plan of CPEC,2014-11-09T04:18:36,nomiferoz
5.31E+17,Nauman Feroz,"#PMChinaVisit MoU on Capacity Building for Development of CPEC between NDRC of China and Ministry of Planning, Development @MaryamNSharif",2014-11-09T04:19:22,nomiferoz
5.31E+17,Nauman Feroz,#PMChinaVisit Agreement on CPEC Energy Projects Cooperation @MaryamNSharif,2014-11-09T04:19:45,nomiferoz
5.31E+17,Khurram Afzal Malik,Framework Agreement on Provision of Concessional Loan by China to Pakistan on CPEC Energy Projects Cooperation,2014-11-09T07:19:45,khurramamalik
5.31E+17,Khurram Afzal Malik,"MOU on capacity building for development of CPEC between NDRC of China and Ministry of Planning, Development and Reform of Pakistan",2014-11-09T07:21:38,khurramamalik
5.31E+17,MULTIBIZNIS,Framework Agreement on Provision of Concessional Loan by China to Pakistan on CPEC Energy Projects Cooperation,2014-11-09T07:44:59,MULTIBIZNIS
5.31E+17,MULTIBIZNIS,"MOU on capacity building for development of CPEC between NDRC of China and Ministry of Planning, Development and Reform of #Pakistan",2014-11-09T07:46:04,MULTIBIZNIS
5.31E+17,Mian Alamgir Shah,"4. MoU on outline of Long-Term CPEC Plan
#PMChinaVisit",2014-11-09T09:40:46,AlamgirMian
5.31E+17,Mian Alamgir Shah,"5. MoU on capacity building for development of CPEC
#PMChinaVisit",2014-11-09T09:41:44,AlamgirMian
