id,name, text, timestap, username
5.21E+17,Pakistan News,"Exclusion of Balochistan, KP from CPEC concerns Senate body: The committee, which met in ... http://bit.ly/1wdLOBC  #pakistan #balochist",2014-10-10T23:23:58,pakistani_news
5.21E+17,Umair Khan,"Exclusion of Balochistan, KP from CPEC concerns Senate body http://www.dailytimes.com.pk/national/11-Oct-2014/exclusion-of-balochistan-kp-from-cpec-concerns-senate-body … #PunjabMLN",2014-10-11T03:25:45,ImUmairK
5.21E+17,Balochistan,"Exclusion of #Balochistan, KP from
CPEC concerns Senate body http://www.dailytimes.com.pk/national/11-Oct-2014/exclusion-of-balochistan-kp-from-cpec-concerns-senate-body … #Pakistan",2014-10-11T04:26:08,Baloch_istan
5.22E+17,Majeed Babar,"Exclusion of Balochistan, KP from CPEC concerns Senate body http://ln.is/dailytimes.com.pk/avjE8 …",2014-10-13T05:08:46,journalist777
5.23E+17,FinanceMinPkOfficial,FM#Dar chairs meeting on Financial Assurance to Chinese  Companies Associated with CPEC Power Project.,2014-10-17T10:01:48,FinMinistryPak
5.23E+17,Raheel Shah,FM#Dar chairs meeting on Financial Assurance to Chinese Companies Associated with CPEC Power Project.,2014-10-17T10:22:55,raheelshah12
5.23E+17,Pak-China Institute,"#MsLiQingyan speaks abt Economic Integration: #CPEC,#SilkRoadEconomicZone & #CentralAsiaEconomicBelt
#PCI #KASpic.twitter.com/fJkztVHM57",2014-10-17T21:07:15,pcipakchina
5.23E+17,Michael,@CraigSmylie Thursday October 23 @ 5pm at CPEC undefeated Cathedral Prep Freshman football team take on undefeated Cleveland St Ignatius,2014-10-18T11:40:53,mjbartone1229
5.23E+17,Michael,@PrepVilla Undefeated Prep Freshman take on Cleveland St Ignatius Thursday October 23 @ 5pm @ CPEC please come out and support them!,2014-10-18T12:38:38,mjbartone1229
5.24E+17,DonovanMorrison,Newspapers and its categories: cPEC,2014-10-19T03:45:52,DonovanMorriso3
5.24E+17,Pak-China Institute,"hope that CPEC will benefit Pakistan, China and whole region.  #LiQingyan #PCI #KAS #IsbTrilateralDialogue",2014-10-19T17:16:27,pcipakchina
5.27E+17,Dr. Musadik Malik,Pakistan road density of .32 KM / sq KM of total area is modest and will improve with CPEC (China Pakistan Economic Corridor) .. conference,2014-10-27T11:19:42,DrMusadikMalik
5.27E+17,Dr. Musadik Malik,CPEC: i. Khunjerab-Raikot; ii. Raikot-Islamabad; iii. Lahore-Kot Abdul Hakeem; iv. Sukkur-Multan; v. Hyderabad-Sukkur; vi. Hyderabad-karachi,2014-10-27T11:22:09,DrMusadikMalik
5.27E+17,Dr. Musadik Malik,"GoP is willing to provide the viability gaps funding to attract investments in highways, especially along CPEC. Tarar (Chairman NHA)",2014-10-27T11:32:20,DrMusadikMalik
